subject,body,label
"jeonju university , chonju , s . korea","our language learning center is looking for an english native speaker to teach english conversation to undergraduate students in my university . thus , plese advertise the following to the linguist if it is possible ; we are looking for english native speakers to teach english conversation in jeonju university , chonju , s . korea . qualifications : i ) english native speaker ii ) m . a . in english , linguistics , els , education is preferrable . duty : teach 15 hours / week extra teaching will be paid by $ 20 . 00 / every hour payment : 1 , 200 , 000 korean won / month ( $ 1 , 500 ) provide free apartment and office 1 - 4 week break between 7 week programs korean government medical insureance is provided . if you need air-fare , we will provide it in advance , then you can re-pay the amount by monthly payment . please send your resume by fax : 011-82 - 652-220 - 2464 ( please write my name and center on you fax ) or send e - mail to : byang @ chonbuknms . chonbuk . ac . kr please feel free to ask me . byong - seon yang , vice - director , langauge education center jeonju university , chonju , s . korea .
",0
sum / qs : first names,"content - length : 2926 from wilma elsing , snail-mail elsingw @ jet . let . vu . nl dear linguist - ers ! about a week ago , i sent a query to the list , asking people to help me with the first names of authors which are mentioned in one of the papers in the book on sla research my supervisor ( prof . dr . peter jordens ) is editing . thanks everyone who took the time to respond to my query ! ( untill today i . e . bill croft , geert verleyen , shanley allen , larry trask , julia s . falk , bernd moebius , brian joseph , alice faber , peter j . bailey , stefanie jannedy , james j . jenkins , udo fries , steve harlow , michael job ) most of the ' blanks ' are filled in by now : bailey , peter cherry , e ( dward ) colin cruse , d ( avid ) alan siqueland , einar r . vigorito , james syrdal - lasky , ann polka , linda roach , daniel sendlmeier , una m . zlatin , marsha koenigsknecht , roy there are only four ' problems ' left ; we would be grateful if anyone could help us 's olve ' them ! ( if you know one or more names , please respond directly to me : elsingw @ jet . let . vu . nl ) these are the names we are still looking for : missler , r . missler , r . ( 1986 ) , "" analytic and synthetic cognitive functioning : a critical review of evidence bearing on field dependence "" , journal of research in personality 20 : 1-33 . rounds , p . l . burmeister , hartmut & p . l . rounds ( eds ) ( 1990 ) , proceedings of the 10th meeting of the second language research forum , i . eugene , or : department of linguistics and american english institute , university of oregon . doron , s . doron , s . ( 1973 ) , reflectivity - impulsivity and their influence on reading for adult students of esl [ unpublished paper , university of michigan , ann arbor kachroo , j . n . kachroo , j . n . ( 1962 ) , "" report on an investigation into the teaching of vocabulary in the first year of english "" , bulletin of he central institute of english 2 : 67-72 . there are two more questions i would like to ask : * does anybody know whether the following book has already appeared ? strange , winifred ( in press ) , speech perception and linguistic experience : theoretical and methodological issues in cross - language speech research . timonium , md : york press . * we do n't have the following book in the libraries , therefor we are not able to find the page-numbers of the following article : rizzi , luigi ( 1978 ) , "" violation of the wh-island constraint in italian and the subjacency condition "" in : colette dubuisson , david lightfoot , yves charles morin ( eds ) ( 1978 ) , montreal working papers in linguistics ii . montreal : l ' association linguistique de montreal , canada , p . . . . - . . . . thanks again for your help ! wilma elsing ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ drs . wilma elsing free university dept . of applied linguistics de boelelaan 1105 1081 hv amsterdam tel . : + 31 20 4446410 mail : elsingw @ jet . let . vu . nl ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~
",0
the lanuage wayana,"i am in very interested in getting hold of any dictionaries , lexicons , or any other material on the wayana language . i am not sure what language family wayana belongs to , but it is spoken among the amerindians in french guiana , suriname , and northeastern brazil . if anyone has any info . that would help me respond to : ebs3b @ virginia . edu . thank you in advance . erik seversen .
",0
materials to learn luganda,"i ' m inquiring for a somewhat linguistically savvy undergraduate who will be spending this june - november in kampala : what is there available in the way of books , a / v materials , courses , whatever for learning luganda ? thanks . george huttar huttar @ sil . org
",0
response to the linguist list query . . .,"several weeks ago , i submitted the following query to the the linguist list : ) do you know of any written description of soundex code and its rules ) i ' m writing a software program to help my wife decode surnames in her ) genealogical research . the only description i ' ve located to date is a ) summary leaving lots of unanswered questions . i received 12 responses , including two from australia and one from the uk . in total , they included the code for two c language programs , access to a third c function , a basic program and an offer of a pascal program , all which reputed to perform soundex translation . the origin of soundex was attributed to the 1880 us census as well as to odell and russel in 1920 . nearly all respondants referred to or paraphrased pages 391 through 392 of "" the art of computer programming , vol . 3 sorting and searching "" , donald knuth , addison wesley , 1973 for a description of the soundex algorithm . [ knuth attributed his description to 1918 and 1922 u . s . patents by margaret k . odell and robert c . russell . ] the respondants were : burns @ cyc . com goodr @ uxa . cso . uiuc . edu bill @ hivnet . ubc . ca evan . antworth @ sil . org goertzen @ rrnet . com ( included the code for soundex . bas , published in "" pc magazine 29 sep 92 , offer of a soundex routine in pascal , and direction to a c function metaphon ( ) "" which claims to correct flaws in the original soundex routine "" in the c gazette , june 1991 ) mis @ seiden . com ( included the code for two c language programs , one employing a table lookup , the other a switch statement ) macrakis @ osf . org ( included knuth 's references : us patents 1261167 ( 1918 ) , 1435663 ( 1922 ) ; j . acm 8 : 538 ( 1961 ) ; commun . acm 5 : 169 ( 1962 ) ; federal population censuses 1790-1890 ( national archives , 1971 ) , p 90 . sds5 @ ukc . ac . uk lojbab @ access . digex . net ( included a source for c code on the internet ) wasserman @ mary . fordham . edu jhs @ extro . ucc . su . oz . au mfw @ lexicon . oz . au thank you all for your interest and effort to respond .
",0
query on physical appearance of words,"content - length : 1535 we are a group of environmental scientists who have been pondering a question . has anyone done research on emotional responses to the * physical appearance * of words or groups of letters ? for example , ' toxic ' , 'd ioxin ' or the ' oxi ' combination . why do people have a fear of 'd ioxin ' but not ' furan ' ( another toxic chemical ) . obviously , some reaction is created by the media , but is there something else involved ? do certain combinations of letters ( e . g . ' oxi ' ) elicit an emotional response ? has anyone done research on this , or know of anyone involved with psycholinguistics or semiotics who might be familiar with this topic ? will summarize for list . thanks for any assistance . joyce lundstrom epidemiologist eti 600 stewart st , # 700 seattle , wa 98101 etilib @ halcyon . com
",0
request : written corpus of various genres,"i am looking for a public corpus of about 200 , 000 words containing current written texts of various genres . i need this for text analysis in an introduction to linguistics class i will be teaching this summer . could anyone help me ? i apologize for burdening the readers with this request . i have a feeling this topic was dealt with on this list before at a time it did not interest me . i would like a corpus that would be transferable via internet and one that my students and i could quote from freely in our research . thanks . ali = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = ali - asghar aghbar , dept . of english , indiana u . of pa , indiana , pa 15705 bitnet : aaghbar @ iup internet : aaghbar @ grove . iup . edu phone : 412-357 2262
",0
summary : french course,"content - length : 2567 a few weeks ago i posted a request for information regarding textbooks for an undergraduate linguistics course on the structures of french . i 'd like to express my thanks to the people listed below for responding , and for all their very helpful suggestions : helene ossipov kristina harris k . heilenman lisa reed raphael salkie paul rowlett michael picone e . dean detrich hilary g sachs laurel watkins adee matan nelson rojas here 's a bibliography containing some of the possible textbooks . the first one listed ( battye & hintze ) was the most widely cited ; most people seemed pleased with it , but not everyone . several respondants said that there simply was no satisfactory textbook for such a course ( at least among books written in english ) . adrian battye & marie - anne hintze ( 1992 ) . the french language today . london : routledge . isbn 0-415 - 07814 - 8 ( pbk ) chiss , j . - l . , j . filliolet & d . maingeneau ( 1978 ) . linguistique francaise : initiation a la problematique structurale . paris : hachette . eluerd , roland ( 1984 ) . pour aborder la linguistique . paris : les editions esf . leon , p . , p . bhatt & r . baligand ( 1992 ) . structure du francais moderne . toronto : canadian scholar 's press . ager , dennis ( 1990 ) . sociolinguistics and comtemporary french . cambridge u . press . ( isbn : 0-521 - 39730 - 8 ( p ) ) walter , henriette ( 1994 ) . french inside and out . routledge . ( isbn : 0-415 - 07670 - 6 ) ( first published in french : le francais dans tous les sens , robert laffont . ) judge , anne and f . g . healey ( 1983 ) . a reference grammar of modern french . london : edward arnold . ( isbn : 0-7131 - 6453 - 0 ) grundstrom , allan w . ( 1983 ) . l ' analyse du francais . lanham : university press of america . ( isbn : 0-8191 - 3569 - 0 ) thanks once again to everyone who responded ! rich epstein ( epstein @ bend . ucsd . edu )
",0
five words in lots of languages,"content - length : 1883 dear wonderfully cooperative linguist readers , the reponse to my request for translations in lots of languages of the words : memory foot water sun fire was such that i now have 66 languages . i could do with lots more though , so if you can give me these words in a language which does n't appear in the list below , i 'd be grateful : maltese , moore , hungarian , gilbertese , salinan / hokan , fula , wolof , hawaiian , marshallese , bislama , fijian , tagalog , cantonese , southern min , mandarin , pitjantjatjara , bahasa , achumawi , chickusaw , modern western armenian , spanish , catalan , portuguese , arabic , upper sorbian , chechen , egyptian hieroglyphic , turkish , basque , lappish / sa ( a ) mi , norwegian , west frisian , danish , swahili , breton , irish , san miguel chimalapa zoque , classical greek , latin , albanian , bosnian , bulgarian , croatian , czech , eastern ( meadow ) mari , erzya mordvin , farsi , finnish , french , galician , modern greek , modern hebrew , italian , japanese , korean , nenets , occitan , polish , rumanian , russian , shoshoni , slovene , swedish , thai , welsh and many thanks again to all those who responded to my original request . paul rowlett
",0
"q : van lancker , automatic speech preprint","content - length : 1385 i would appreciate any leads on a paper by diana van lancker which was cited as a preprint but appears never to have been published ( as far as i can determine ) . victoria fromkin is mentioned as van lancker 's colleague . perhaps one of them or another helpful soul will be kind enough to fill me in on the paper 's fate . "" a hypothetical continuum of propositional and automatic speech modes and their properties "" by diana van lancker . cited on p . 13 in bolinger , d . ( 1976 ) . meaning and memory . forum linguisticum , 1 ( 1 ) , 1-14 . please reply directly . thank you . dave leech ucla , dept . of applied linguistics ihw1ihy @ mvs . oac . ucla . edu
",0
call for reviewers / new url for call site,"call @ chorus , < http : / / www-writing . berkeley . edu / chorus / call / index . html > ; , is a web-based resource offering detailed reviews of software and books targeted towards language students and instructors . we also feature demonstrations of the latest in cutting edge call demos , and a carefully selected index of call links to interesting and relevant sites on the web . we are currently inviting all those interested in reviewing computer assisted language learning software and / or books to submit a current resume with a cover letter detailing their background and experience with call as well as any specific language or regional interests that they might have . submissions should be made via email to the section editor , jim duber , < dub @ sirius . com > . please send all documents in one of the following text formats : ascii ( i . e . , email only ) , rich - text ( i . e . , rtf ) , word 6 or earlier , or pdf . feel free to contact me with any questions you might have on this . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * note : call @ chorus has just moved to our new sponsor : * * uc berkeley 's college writing programs * * we ' re newly designed , newly updated , new content too . * * our old site at http : / / www . chorus . cycor . ca / duber / * * will soon be phased out . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * best wishes , jim ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ jim duber , editor c a l l @ c h o r u s dub @ sirius . com http : / / www-writing . berkeley . edu / chorus / call ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~",0
shanghaihua speakers wanted,"content - length : 967 i am looking for speakers of shanghaihua who would be willing to answer a short questionnaire about the uses of shanghaihua and putonghua in shanghai . please contact me at awilliam @ reed . edu thanks for any assistance , ashley williams
",0
south slavic phonology,"hi could anyone recommend a good fairly uncomplicated book on south slavic phonology and / or morphology ? i 'd appreciate it much . thanks , donald p . hussey boston college husseyd @ bcvms . bc . edu
",0
about e . h . tuttle ( sumary ),"some weeks ago i posted a query about e . h . tuttle . thanks to : pier marco bertinetto karl v . teeter julia s . falk jane edwards my best regards . here are the references i received : + edwin hotchkiss tuttle ( 1879 - ? ) : 1 ) autor of : _ dravidian developements _ , philadelphia : linguistic society of america , 1930 . 2 ) foundation member of the linsuitic society of america ( in 1925 ) . + e . h . tuttle and co . : publisher located in tokyo and vermont , specialized in books on japan . existed at least into 1960s . + e . h . tuttle was probably a e . f . tuttle 's ( professor in romance linguistic , ucla ) relative . xulio sousa department of galician language university of santiago de compostela galicia spain e-mail : fgxsousa @ uscmail . usc . es
",0
estuary english,"for the listserv a friend of mine who is not on the list has asked me to post a request for references or information on a variety of spoken british english called estuary english . if anybody can help , please send a reply to me directly and i will forward the messages . thanks a lot in advance . ana parrondo
",0
celtic languages learning conference,"content - length : 3830 the 1995 conference of the north american association for celtic language teachers : saturday , 25 march 1995 krieder hall san rafael building glendale community college 1500 n . verdugo road glendale , ca 91208 glendale is a suburb of l . a . and the college is accessible north from the 134 fwy or west of the 2 fwy . it 's about 45 minutes from lax . note that there is free parking behind the college near the corner of verdugo and mountain avenue . the proposed schedule reads as follows : 9 : 30am sign in , 10 : 00-12 presentations , 12 - 1pm lunch ( various restaurants are across the street from campus ; the cafeteria will be closed as this will be during spring break ) , 1 - 3 presentations , 4pm closing , 6pm executive committee meeting . naaclt ' 95 will prove to be a day full of thought provoking presentations and an excellent opportunity to meet with other celtic language teachers . the program presently stands as follows : student motivation through journal writing in modern irish roslyn blyn ( university of pennsylvania ) dialects , speech communities and applied linguistics : a realistic approach to the teaching of irish in non-irish speaking areas james j . duran ( loyola marymount university ) teacher certification and less commonly taught languages thomas w . ihde ( bergen community college ) medieval welsh in the mid-pacific : the worksheet as interactive kathryn klingebiel ( university of hawaii - manoa ) computing in irish john t . mccranie ( san francisco state university ) the world wide web for welsh : the world ' s largest welsh classroom mark nodine and briony williams irish language oral assessment test beth ellyn o'mullan ( rutgers university ) , liam guidry and breanda / n mac liam ( brookdale community college ) celtic "" mini-courses "" zev bar - lev ( san diego state university ) call with methodical explanations gearo / id o / ne / ill and annette mcelligott ( university of limerick ) marketing a second language : the case of the scottish gaelic learning revival in ontario kara smith ( university of western ontario ) video in the irish language classroom nancy stenson ( university of minnesota ) the conference pre-registration fees are : naaclt member $ 10 , non - member $ 15 , membership & conference $ 25 ( $ 20 for students ) . ( normal membership fee is $ 15 / yr , $ 10 / yr for students ) . after 1 march 1995 the conference fees will increase by $ 5 . all concerns should be addressed to john t . mccranie at the department of computer science , san francisco state university , 1600 holloway avenue , san francisco , ca 94132 or jtm @ futon . sfsu . edu . here are some local hotels . there are several near hollywood - burbank airport ( about 17 minutes away ) , among them ramada inn , 2900 north san fernanado road , burbank 818-843 - 5955 ; holiday inn , 150 e angeleno ave , burbank 818-841 - 4770 ; and travelodge , 112 n . hollywood way , burbank 818-845 - 2408 . a little closer ( about 10 minutes away ) and with fewer frills are astro motel , 326 e . colorado blvd , glendale 818-246 - 7401 ; econo lodge , 1437 e . colorado blvd , glendale 818-246 - 8367 ; and best western , 123 w colorado blvd , glendale , 818-247 - 0111 .
",0
discontinuous constituency,"i am currently reviewing literature on the subject of discontinuous constituency and would like to get my hands on work that : 1 ) discusses some of the larger theoretical issues at stake , and / or 2 ) uses the notion of discontinuous constituency to describe languages other than english ( e . g . , amy dahlstrom 's article on discontinuous constituents in fox ) . if anyone could point me towards some references , i would be greatly appreciative . sincerely , stuart robinson reed college
",0
canadian english,"hello , i would like to give my students at mcgill an assignment concerning geographical ( and social ) variation in canadian english . to do so , i should therefore build a short questionaire that will allow them to elicit words and pronuncations which are likely to vary depending on the social characteristics of their consultants . i would very much appreciate if my fellow linguists could provide me with good test items for that questionaire . thanks in advance . - - julie auger
",0
grants - in-aid available,"five $ 400 . 00 grants-in - aid are available from the text and academic authors association . you have to join to be eligible ( # 35 . 00 special for new members for first year ) . monies can be used to defray almost any expenses associated with academic writing ( including travel ) . deadline is march 30 and applications should include 1 ) brief description of work incl . background , objectives and methodology ( 3 pp max double spaced ) . 2 ) budget and completion schedule 3 ) cv . send to norma hood , taa , po box 535 , orange springs , fl 32182-0535 . 904 / 546-5419 . l . kathy heilenman dept . of french & italian u . of iowa , iowa city ia 52242 ( l-heilenman @ uiowa . edu )
",0
,"syntax marcus maia . the comprehension of object anaphora in brazilian portuguese . usc . 1994 . distributed by gsil publications , usc . this thesis examines the comprehension of the empty category and the third person lexical pronoun in object position in brazilian portuguese ( bp ) . experimental results show that the processing of bp overt and nonovert objects is consistent with the leading idea underlying the overt pronoun constraint ( opc ) proposed by montalbetti ( 84 ) . experiment 1 compares the processing of overt pronouns and empty categories in object position in bp in structures in which these anaphors are a - bound by a subject and in structures in which they are a - bar-bound by a topic . results from 48 bp speakers indicate reactivation of the antecedents only by topic-bound gaps and by subject-bound overt pronouns in experiment 2 , the difference between the coreferential vs . bound readings in bp is further investigated by comparing the possibility of the strict and sloppy readings for the overt pronoun and the gap in object position . based on these experimental results , we argue for the classification of the bp null object as an instance of a null epithet , an empty r - expression with pronominal properties . the experiments are also informative with relation to several theoretical psycholinguistic issues . for more information , please contact gsil publications gsil @ scf . usc . edu south asian langs pan-asiatic linguistics : proceedings of the third international symposium on language and linguistics . chulalongkorn university , bangkok , thailand . 8-10 january 1992 . 1482 pp . ( 3 vol . ) . us $ 53 . 00 ( cloth ) including postage by airmail . the set contains 118 papers presented at the symposium . the papers deal with languages spoken in every part of asia with emphasis on southeast asian languages . areas covered are phonetics , phonology , morphology , syntax , diachronic studies , sociolinguistics , language contact , typology , neurolinguistics , psycholinguistics , and natural language processing . available from wholesale department , university bookstore , chulalongkorn university , phyathai road , bangkok 10330 , thailand . ( bank draft or international money order only . )
",0
your sites,"after reading your internet page , i wondered if you would be interested = in the memorable alpha-numeric 0707 4 glasgow or 08700 scotland = telephone number , which will be easily remembered by your customers , in = a marketing campaign . if you are interested please call on 07000 750750 , = if not , i am very sorry for contacting you . = 20
",1
,"* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * ai review journal ai review journal ai review journal ai review journal ai rev * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * artificial intelligence review journal ( kluwer , the netherlands ) special volume on integration of natural language and vision processing 6 double-issues ai review ( 4 books in parallel ) journal : 1994 vol . 8 ( 2 - 3 ) : computational models 1995 vol . 8 ( 5 - 6 ) : more computational models vol . 9 ( 2 - 3 ) : intelligent multimedia vol . 9 ( 4 - 5 ) : theory ( to come ) grounding representations recent advances ( to come ) books : 1995 integration of natural language and vision processing ( vol . i ) : computational models integration of natural language and vision processing ( vol . ii ) : intelligent multimedia ( to come ) integration of natural language and vision processing ( vol . iii ) : theory and grounding representations integration of natural language and vision processing ( vol . iv ) : recent advances ( to come )
",0
etymo-dicts,"i ' m amazed and shocked that in his 2nd summary of etymological dictionaries , se rme 's again failed to mention under caucasian ( or anywhere else ) the incomparab le ( or is it incompatible ? ) : g . a . klimov . etimologicheskij slovar ' kartvel 's kix jazykov . 1964 . moskva : izdatel 's tvo akademii nauk cccp ( i mean sssr ) . [ etymological dictionary of the kartvelian languages - all four of them ! ]
",0
32 . linguistisches kolloquium kassel,"32nd colloquium of linguistics all fields of linguistics september 17-19 , 1997 university of kassel germany ab sofort koennen sie die neuesten informationen , darunter das aktuelle programm , termin - und adressenuebersichten sowie eine formularmaske zur anmeldung als passiver teilnehmer am kongress im www abrufen : http : / / www . uni-kassel . de / fb9 / sprachw / lk / welcome . htm
",0
spontaneous nasalisation,"i am presently working on constituing a bank of data on spontaneous vowel nasalisation . i need cases where vowels have been nasalised in a nasal-free context ( no nasal consonant in the immediate surroundings ) . i would be grateful if you could help me by sending any information on the subject . thank you , robert boivin r26670 @ er . uqam . ca
",0
digital recorders,"a couple of weeks before the break i posted a message asking for information about portable digital recorders for phonetic / phonological fieldwork . since a couple of people told me that they were interested in knowing the results of my inquiry , here is a summary of the replies : several people who replied to me recommended sony recorders , in particular the tcd-d7 or the tcd-d10 . i am told that these machines are somewhat expensive . it appears that there is a cheaper but still adequate machine produced by jvc : jvc xd - p1 pro bk . the sony mini disc portable recorder mz - 1 was also highly recommended . thank you to everyone who replied to me : maquela brizuela , rianne doeleman , hannes pirker , ingo plag , stephanie maietta and alex francis . ( sorry if i am forgetting someone 's name ) . jose ignacio hualde dept . of spanish , italian , and portuguese 4080 flb univ . of illinois , urbana , il 61801 jihualde @ ux1 . cso . uiuc . edu
",0
re : free phonesex ( 664 ) 410-4332,"dear sir / madam : due to our 1 year aniversary , we are giving you a free treat ! for the next month you can call the number below and have free phonesex ! the first two hours of any of your calls in the next month will be * * * * * absolutely free ! ! no questions asked ! * * * * * so pick up the phone and call ( 664 ) 410-4332 now ! our girls are hot , young , blond , horny and want to play with you now ! call ( 664 ) 410-4332 now ! !
",1
june 1995 boolean conference,"the legacy of george boole 28th - 30th june 1995 university college , cork ( ucc ) ( 150 years old anniversary ) ireland , eu conference : this conference will open at 9 . 30 a . m . on wednesday , 28th june and close at lunchtime on friday , 30th june . we are at present finalising the programme for the conference , and awaiting titles of presentations . boole : boolean logic is a logic originated by george boole ( 1815-1864 ) at university college cork ( ucc ) ( then queen 's university ) in ireland in 1854 . his motivation was to develop a logic of human intelligence . speakers : g . k . batchelor ( cambridge university ) robert l . devaney ( boston university ) keith devlin ( st . mary 's college of california ) ivor grattan - guinness ( middlesex university ) theodore hailperin ( lehigh university ) desmond machale ( ucc ) john mccarthy ( stanford university ) roger penrose ( oxford university ) there will be an afternoon tour to places of boolean interest , and there will be a conference dinner on the thursday night in the aula maxima . ( ir 25 per person ) . the conference fee will be $ 30 ( ir 20 pounds ) for early registration before the end of may , or $ 50 ( ir 30 pounds ) for registration in june . this fee includes opening reception , lectures and coffee breaks . accompanying persons ' fee will be $ 15 ( ir 10 pounds ) . professor jim bowen , dr . donal hurley , professor desmond machale , lucette murray - committee . contacts : the ucc150 office ( e-mail ucc150 @ iruccvax . ucc . ie ) or donal hurley ( e-mail djh @ iruccvax . ucc . ie ) flights : from * * manchester * * , leeds / bradford , liverpool , london and midlands ( england ) on carriers such as aer lingus , british midlands , ryanair some direct flights from the usa ( boston ) and the continent !
",0
re : toc,"dear colleague , i would like to send you the following announcement ( the publisher has no email connection ) . "" rivista di linguistica "" , volume 6 , issue 2 , 1994 on linguistic categorization 163 stefania giannini & romano lazzeroni , foreword 167 d . a . cruse , prototype theory and lexical relations 189 dirk geeraerts , classical definability and the monosemic bias 209 stefania giannini , gender grammatical polarization in late latin and some italian dialectal areas . a cognitive view 237 georges kleiber , lexicon et cognition : y a-t - il des termes de base ? 267 romano lazzeroni , rileggendo benveniste : le relazioni di persona nel verbo 275 geoffrey s . nathan , how the phoneme inventory gets its shape cognitive grammar 's view of phonological systems 289 paolo ramat & davide ricca , prototypical adverbs : on the scalarity / radiality of the notion of adverb 327 john r . taylor , fuzzy categories in syntax : the case of possessives and compounds in english 347 anna wierzbicka , the universality of taxonomic categorization and the indispensability of the concept ' kind ' 365 margaret e . winters , who are you talking to ? or , whom should i say is calling ? language change in the adult grammar for more information : bertinet @ sns . it
",0
old irish expert required for quick query,"i believe old irish had word-accent on the first-syllable . 1 ) was there an alliterative-verse tradition ? 2 ) any evidence that allit . phrases might have been a feature of ordinary or of any kinds of hight-register speech ? thanks , richard dury
",0
nlp jobs summary,"a couple of weeks ago , i asked whether there is a central source of information about jobs in nlp . i received about ten responses , some of which mentioned specific job opportunities , which i passed on to my student . i am posting here a summary of the general discussion . 1 . there is a list called langage naturel ( ln @ frmop11 . bitnet ) , run by philippe blache ( pb @ harar . unice . fr ) , which may be useful . 2 . the attendance lists from acl could be helpful . 3 . mark kantrowitz at cmu has a mailing list called ai-jobs . many of the listings are in cl / nlp . he can be reached at mkant @ cs . cmu . edu url : http : / / www . cs . cmu . edu : 8001 / afs / cs . cmu . edu / user / mkant / www / home . html 4 . ken i . laws runs a for-moderate - fee mailing list called the computist 's communique . it 's a general e-newsletter for computer scientists , but includes an appendix ( of sorts ) of job ads in applied cs / ai . again , quite a few nlp ads . ken offers once-a - month freebies , and bargain subscriptions for students and unemployed members . laws @ ai . sri . com . 5 . the ( very low volume ) newsgroup comp . ai . nlang-know - rep lists jobs occasionally . 6 . the empiricist mailing list is an email-list covering corpus-based nlp , and for nlp jobs , have a look at colibri , a weekly newsletter and www service for people interested in language , logic , speech and / or information . have a look at our url : ( http : / / colibri . let . ruu . nl / ) a keyword search on "" job "" will basically yield an overview of all jobs that were ever announced in colibri , which includes all nlp-jobs we were able to find . by this message , i announce that i am going out of the employment counseling business . mark aronoff
",0
turn measurement,"dear linguists this is a desperate plea for information regarding software which enables one to time turn-taking in natural conversation . i have followed up a number of references to such devices in the literature but to no avail ! what i need is something which will time ( more accurately than me plus stopwatch ) turns , silence between turns , and , if possible , overlaps . anyone who knows of something which could be persuaded to do this for me , please let me know as this is becoming rather urgent . sally hunt linguistics department rhodes university grahamstown 6140 south africa e-mail : lish @ warthog . ru . ac . za phone : + 27 - 461 - 318105 / 6 ( w ) fax : + 27 - 461 - 25049
",0
farsi ( persian ) light verb constructions,"i am working on "" light verb constructions in farsi and kurdish "" at essex university and i would like to share my ideas with other researches intersted in this area . i am going to approach this topic in the framework of noun incorporation ( baker , 1988 ; hale and keyser , 1991 , 1992 , 1993 ) . especially i like to be in touch with dr simin karimi and dr jan mohammad who have written the first article , as far as , on this subject . i will be very gratefull to you , if you could provide me with the e-mail adresses of these linguists . my e-mail address is as follows : karigx @ essex . ac . uk thanks gh . karimi doostan
",0
sum : lang . www sites,"content - length : 1197 dear linguist 's : i recently asked for language / linguistics - related www sites . i have incorporated those i received into my homepage at the following url : http : / / www . scs . unr . edu : 80 / homepage / kristina / kristina . html i am posting the url rather than the list of sites to save bandwidth . if anyone would like the list itself , let me know and i ' ll e-mail you the html page . i would like to thank the following people who responded and sent url 's : diane penkoff fred riley oesten dahl jelly julia de jong bruno tersago tony sardinha j . k . ( anko ) wiegel kimmo koskenniemi alexandra klein alex eulenberg micheal palmer svein lie remi jolivet heidi shetzer karin stromswold debra occhi caoimhin p . odonnaile stanley g . goertzen jussi karlgren louis janus sabine geldof dr . manfred immler _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ kristina harris | the mathematics center - 085 | ( 702 ) 784-4433 kristina @ math . unr . edu | university of nevada , reno | fax ( 702 ) 784-1080 * www : http : / / www . scs . unr . edu : 80 / unr / arts-n - science / math-center / mathctr . html * * my homepage is http : / / www . scs . unr . edu : 80 / homepage / kristina / kristina . html *
",0
